region_index,mean_low,sd_low,mean_high,sd_high,diff_high_minus_low
32,0.085535341,0.052056852,0.091295182,0.066906253,0.0057598405
33,0.17930562,0.080970499,0.15745093,0.066503166,-0.021854695
34,0.14626038,0.078449173,0.12274195,0.058250128,-0.023518423
35,0.14338856,0.07448862,0.12034487,0.05830149,-0.023043688
36,0.16271049,0.07902492,0.13684377,0.060195078,-0.025866729
37,0.099447762,0.071235829,0.077804103,0.0541864,-0.021643659
38,0.16057993,0.078509434,0.13640763,0.063213782,-0.024172304
39,0.089428668,0.065617315,0.06786973,0.052243885,-0.021558937
40,0.17870847,0.081864367,0.14545332,0.063712311,-0.033255144
41,0.089426575,0.068270276,0.062135269,0.050870081,-0.027291306
42,0.14628544,0.073039855,0.12101232,0.056483294,-0.025273117
43,0.12398994,0.069868867,0.10336054,0.049724584,-0.020629395
44,0.17673873,0.08176541,0.14296639,0.062517323,-0.033772336
45,0.13158415,0.073739134,0.10083001,0.052016317,-0.030754146
46,0.13208239,0.068777274,0.10457806,0.048128611,-0.027504324
47,0.20141122,0.094591976,0.16128185,0.072212736,-0.040129371
48,0.21453467,0.089419345,0.17756645,0.077196986,-0.036968223
49,0.2165357,0.088590089,0.18962154,0.078044252,-0.026914158
50,0.21260894,0.094979347,0.1809452,0.084275871,-0.031663731
51,0.22151764,0.096099065,0.18180245,0.081820588,-0.039715191
52,0.22876833,0.1047623,0.19591685,0.084853565,-0.032851482
53,0.21228014,0.091613446,0.17872686,0.076183367,-0.033553287
54,0.21267007,0.090531784,0.17714172,0.072478313,-0.035528351
55,0.20967628,0.096057972,0.16807806,0.081157152,-0.041598213
56,0.20052181,0.095420176,0.15743255,0.073887413,-0.043089261
57,0.17460166,0.087000524,0.13105749,0.070681876,-0.043544167
58,0.20505202,0.094826528,0.15712812,0.072046922,-0.047923905
59,0.18591572,0.08766053,0.13998487,0.067033296,-0.045930847
60,0.21275466,0.09871241,0.16782642,0.077658029,-0.044928239
61,0.21855668,0.099565993,0.16122294,0.07379482,-0.057333743
62,0.17576743,0.088338598,0.13311763,0.062367125,-0.0426498
63,0.15989349,0.083611104,0.13575111,0.065353763,-0.024142373
64,0.13340687,0.073378988,0.11120666,0.054907444,-0.022200209
65,0.13182011,0.07455921,0.10691858,0.054227687,-0.024901527
66,0.21410721,0.098948538,0.18403721,0.083685863,-0.030069995
67,0.19589176,0.091313339,0.16130214,0.07694865,-0.034589625
68,0.15753294,0.079637381,0.12957955,0.063421475,-0.027953399
69,0.12470341,0.073564035,0.093400633,0.054050151,-0.031302778
70,0.15938529,0.079907661,0.12934473,0.05948682,-0.030040559
71,0.10357495,0.072951359,0.064775314,0.052852874,-0.038799631
72,0.15248611,0.083596785,0.10431022,0.06360338,-0.048175892
73,0.18607603,0.081671645,0.1581845,0.065665968,-0.027891535
74,0.16726791,0.078691973,0.13729529,0.062578903,-0.029972618
75,0.21258885,0.09366515,0.18298066,0.081147243,-0.029608187
76,0.21748332,0.093292406,0.17336873,0.079203316,-0.044114594
77,0.18634993,0.089780131,0.16287714,0.075160033,-0.02347279
78,0.1318619,0.073288802,0.10707003,0.05915425,-0.024791871
79,0.16716144,0.085520426,0.14483719,0.070883873,-0.022324245
80,0.20181444,0.088538467,0.17493944,0.080403394,-0.026875003
81,0.21413072,0.095309527,0.18530962,0.083694446,-0.028821094
82,0.21590169,0.094238615,0.18233186,0.081538927,-0.033569827
83,0.10840637,0.067779425,0.075997237,0.049922921,-0.032409128
84,0.18590362,0.080481314,0.15348585,0.064944787,-0.03241777
